Malatya,Pütürge,16612.0,13889,13318
Malatya,Yazıhan,14315.0,13786,14710
Malatya,Yeşilyurt,283716.0,319618,298839
Manisa,Ahmetli,16104.0,16525,17403
Manisa,Akhisar,163107.0,173026,180509
Manisa,Alaşehir,99962.0,104622,105776
Manisa,Demirci,43027.0,40048,35604
Manisa,Gölmarmara,15384.0,15212,15176
Manisa,Gördes,29768.0,27703,25759
Manisa,Kula,45587.0,44001,42952
Manisa,Köprübaşı,14191.0,13185,12404
Manisa,Kırkağaç,45730.0,38459,37718
Manisa,Salihli,156861.0,162787,165353
Manisa,Saruhanlı,53684.0,55340,57935
Manisa,Sarıgöl,36206.0,35890,35125
Manisa,Selendi,21437.0,19871,18869
Manisa,Soma,105518.0,109946,110996
Manisa,Turgutlu,150460.0,166418,178386
Manisa,Yunusemre,204436.0,246440,269160
Manisa,Şehzadeler,166443.0,171138,166228
Mardin,Artuklu,151356.0,178154,197776
Mardin,Dargeçit,28601.0,27711,27406
Mardin,Derik,61320.0,61706,62401
Mardin,Kızıltepe,232628.0,256664,275640
Mardin,Mazıdağı,33070.0,36304,37470
Mardin,Midyat,105252.0,114763,124543
Mardin,Nusaybin,116068.0,108172,119499
Mardin,Savur,29026.0,26583,24294
Mardin,Yeşilli,17136.0,14695,12996
Mardin,Ömerli,14539.0,14026,14066
Mersin,Akdeniz,276058.0,262265,256292
